vendor,invoice_no,date,location,item_no,description,category,qty,uom,pack_size,unit_price,extended_price
Sysco,90003,2026-04-30,Cape Coral,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,2,CS,CS,51.86,103.72
Sysco,90003,2026-04-30,Cape Coral,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,6,CS,CS,32.15,192.9
Sysco,90003,2026-04-30,Cape Coral,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,4,CS,CS,59.08,236.32
Sysco,90003,2026-04-30,Cape Coral,2210351,CHEESE AMER SLCD 160CT,DAIRY,2,CS,CS,47.49,94.98
Sysco,90003,2026-04-30,Cape Coral,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,5,CS,CS,29.63,148.15
Sysco,90003,2026-04-30,Cape Coral,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,4,CS,CS,24.72,98.88
Sysco,90003,2026-04-30,Cape Coral,8812234,SYRUP MAPLE FLVR JUG,GROCERY,2,CS,CS,31.49,62.98
Sysco,90003,2026-04-30,Cape Coral,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,4,CS,CS,60.76,243.04
Sysco,90003,2026-04-30,Cape Coral,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,4,CS,CS,38.42,153.68
FreshPoint,90004,2026-05-04,Lake Nona,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,8,CS,CS,26.96,215.68
FreshPoint,90004,2026-05-04,Lake Nona,260305,GRAPE RED SEEDLESS,PRODUCE,9,CS,CS,35.34,318.06
FreshPoint,90004,2026-05-04,Lake Nona,270112,MELON CANTALOUPE CT,PRODUCE,5,CS,CS,28.55,142.75
FreshPoint,90004,2026-05-04,Lake Nona,405035,MUSHROOM SLICED,PRODUCE,5,CS,CS,14.31,71.55
FreshPoint,90004,2026-05-04,Lake Nona,512300,SPINACH BABY CELLO,PRODUCE,9,CS,CS,20.93,188.37
FreshPoint,90004,2026-05-04,Lake Nona,514021,ONION SWEET DICED,PRODUCE,3,CS,CS,33.8,101.4
FreshPoint,90004,2026-05-04,Lake Nona,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,5,CS,CS,27.43,137.15
FreshPoint,90004,2026-05-04,Lake Nona,561200,POTATO IDAHO #2 50LB,PRODUCE,1,CS,CS,24.89,24.89
FreshPoint,90005,2026-05-02,Windermere,260305,GRAPE RED SEEDLESS,PRODUCE,7,CS,CS,35.39,247.73
FreshPoint,90005,2026-05-02,Windermere,270112,MELON CANTALOUPE CT,PRODUCE,4,CS,CS,28.42,113.68
FreshPoint,90005,2026-05-02,Windermere,407810,TOMATO 5X6 2LAY,PRODUCE,5,CS,CS,68.14,340.7
FreshPoint,90005,2026-05-02,Windermere,403647,LETTUCE CELLO ICEBERG,PRODUCE,5,CS,CS,33.64,168.2
FreshPoint,90005,2026-05-02,Windermere,405035,MUSHROOM SLICED,PRODUCE,4,CS,CS,14.31,57.24
FreshPoint,90005,2026-05-02,Windermere,512300,SPINACH BABY CELLO,PRODUCE,6,CS,CS,21.07,126.42
FreshPoint,90005,2026-05-02,Windermere,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,2,CS,CS,27.33,54.66
FreshPoint,90006,2026-05-05,Cape Coral,480010,BANANA GREEN TIP,PRODUCE,1,CS,CS,19.1,19.1
FreshPoint,90006,2026-05-05,Cape Coral,270112,MELON CANTALOUPE CT,PRODUCE,2,CS,CS,28.24,56.48
FreshPoint,90006,2026-05-05,Cape Coral,407810,TOMATO 5X6 2LAY,PRODUCE,2,CS,CS,68.7,137.4
FreshPoint,90006,2026-05-05,Cape Coral,403647,LETTUCE CELLO ICEBERG,PRODUCE,1,CS,CS,33.62,33.62
FreshPoint,90006,2026-05-05,Cape Coral,405035,MUSHROOM SLICED,PRODUCE,9,CS,CS,14.22,127.98
FreshPoint,90006,2026-05-05,Cape Coral,512300,SPINACH BABY CELLO,PRODUCE,4,CS,CS,20.93,83.72
FreshPoint,90006,2026-05-05,Cape Coral,514021,ONION SWEET DICED,PRODUCE,4,CS,CS,33.73,134.92
Sysco,90007,2026-05-10,Lake Nona,7008537,BTRBALL BACON TURKEY LAYFLT,MEAT PLTRY,5,CS,CS,46.09,230.45
Sysco,90007,2026-05-10,Lake Nona,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,1,CS,CS,33.42,33.42
Sysco,90007,2026-05-10,Lake Nona,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,2,CS,CS,62.97,125.94
Sysco,90007,2026-05-10,Lake Nona,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,4,CS,CS,32.87,131.48
Sysco,90007,2026-05-10,Lake Nona,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,1,CS,CS,24.68,24.68
Sysco,90007,2026-05-10,Lake Nona,8812234,SYRUP MAPLE FLVR JUG,GROCERY,4,CS,CS,32.34,129.36
Sysco,90007,2026-05-10,Lake Nona,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,6,CS,CS,64.51,387.06
Sysco,90007,2026-05-10,Lake Nona,4676280,WHLFCLS MILK 2% GALLON,DAIRY,6,CS,CS,23.4,140.4
Sysco,90007,2026-05-10,Lake Nona,9077122,BREAD TEXAS TOAST THICK,BREAD,2,CS,CS,19.01,38.02
Sysco,90007,2026-05-10,Lake Nona,9077123,BREAD SOURDOUGH SLCD,BREAD,5,CS,CS,21.86,109.3
Sysco,90008,2026-05-09,Windermere,7008537,BTRBALL BACON TURKEY LAYFLT,MEAT PLTRY,5,CS,CS,46.15,230.75
Sysco,90008,2026-05-09,Windermere,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,2,CS,CS,33.11,66.22
Sysco,90008,2026-05-09,Windermere,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,5,CS,CS,32.99,164.95
Sysco,90008,2026-05-09,Windermere,8812234,SYRUP MAPLE FLVR JUG,GROCERY,4,CS,CS,32.57,130.28
Sysco,90008,2026-05-09,Windermere,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,3,CS,CS,64.34,193.02
Sysco,90008,2026-05-09,Windermere,4676280,WHLFCLS MILK 2% GALLON,DAIRY,6,CS,CS,23.24,139.44
Sysco,90008,2026-05-09,Windermere,9077122,BREAD TEXAS TOAST THICK,BREAD,2,CS,CS,19.04,38.08
Sysco,90008,2026-05-09,Windermere,9077123,BREAD SOURDOUGH SLCD,BREAD,3,CS,CS,21.74,65.22
Sysco,90008,2026-05-09,Windermere,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,1,CS,CS,41.23,41.23
Sysco,90009,2026-05-10,Cape Coral,4537134,KEKE'S EGG SHELL XL WHT GR AA,DAIRY,1,CS,CS,34.51,34.51
Sysco,90009,2026-05-10,Cape Coral,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,1,CS,CS,33.68,33.68
Sysco,90009,2026-05-10,Cape Coral,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,2,CS,CS,62.27,124.54
Sysco,90009,2026-05-10,Cape Coral,2210351,CHEESE AMER SLCD 160CT,DAIRY,3,CS,CS,49.76,149.28
Sysco,90009,2026-05-10,Cape Coral,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,6,CS,CS,33.38,200.28
Sysco,90009,2026-05-10,Cape Coral,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,5,CS,CS,24.93,124.65
Sysco,90009,2026-05-10,Cape Coral,8812234,SYRUP MAPLE FLVR JUG,GROCERY,2,CS,CS,32.6,65.2
Sysco,90009,2026-05-10,Cape Coral,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,6,CS,CS,64.76,388.56
Sysco,90009,2026-05-10,Cape Coral,4676280,WHLFCLS MILK 2% GALLON,DAIRY,5,CS,CS,23.27,116.35
Sysco,90009,2026-05-10,Cape Coral,9077123,BREAD SOURDOUGH SLCD,BREAD,3,CS,CS,21.91,65.73
Sysco,90009,2026-05-10,Cape Coral,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,1,CS,CS,40.67,40.67
FreshPoint,90010,2026-05-07,Lake Nona,480010,BANANA GREEN TIP,PRODUCE,2,CS,CS,19.91,39.82
FreshPoint,90010,2026-05-07,Lake Nona,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,9,CS,CS,32.15,289.35
FreshPoint,90010,2026-05-07,Lake Nona,260305,GRAPE RED SEEDLESS,PRODUCE,1,CS,CS,37.11,37.11
FreshPoint,90010,2026-05-07,Lake Nona,270112,MELON CANTALOUPE CT,PRODUCE,1,CS,CS,29.89,29.89
FreshPoint,90010,2026-05-07,Lake Nona,407810,TOMATO 5X6 2LAY,PRODUCE,4,CS,CS,73.57,294.28
FreshPoint,90010,2026-05-07,Lake Nona,403647,LETTUCE CELLO ICEBERG,PRODUCE,1,CS,CS,35.39,35.39
FreshPoint,90010,2026-05-07,Lake Nona,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,4,CS,CS,28.86,115.44
FreshPoint,90010,2026-05-07,Lake Nona,561200,POTATO IDAHO #2 50LB,PRODUCE,2,CS,CS,26.12,52.24
FreshPoint,90011,2026-05-08,Windermere,480010,BANANA GREEN TIP,PRODUCE,6,CS,CS,19.59,117.54
FreshPoint,90011,2026-05-08,Windermere,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,6,CS,CS,32.25,193.5
FreshPoint,90011,2026-05-08,Windermere,260305,GRAPE RED SEEDLESS,PRODUCE,7,CS,CS,37.3,261.1
FreshPoint,90011,2026-05-08,Windermere,270112,MELON CANTALOUPE CT,PRODUCE,5,CS,CS,29.94,149.7
FreshPoint,90011,2026-05-08,Windermere,403647,LETTUCE CELLO ICEBERG,PRODUCE,3,CS,CS,35.11,105.33
FreshPoint,90011,2026-05-08,Windermere,405035,MUSHROOM SLICED,PRODUCE,6,CS,CS,14.9,89.4
FreshPoint,90011,2026-05-08,Windermere,512300,SPINACH BABY CELLO,PRODUCE,3,CS,CS,22.52,67.56
FreshPoint,90011,2026-05-08,Windermere,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,6,CS,CS,28.46,170.76
FreshPoint,90011,2026-05-08,Windermere,561200,POTATO IDAHO #2 50LB,PRODUCE,6,CS,CS,26.01,156.06
FreshPoint,90012,2026-05-07,Cape Coral,480010,BANANA GREEN TIP,PRODUCE,5,CS,CS,19.81,99.05
FreshPoint,90012,2026-05-07,Cape Coral,260305,GRAPE RED SEEDLESS,PRODUCE,6,CS,CS,37.5,225.0
FreshPoint,90012,2026-05-07,Cape Coral,270112,MELON CANTALOUPE CT,PRODUCE,7,CS,CS,29.92,209.44
FreshPoint,90012,2026-05-07,Cape Coral,407810,TOMATO 5X6 2LAY,PRODUCE,6,CS,CS,74.27,445.62
FreshPoint,90012,2026-05-07,Cape Coral,403647,LETTUCE CELLO ICEBERG,PRODUCE,3,CS,CS,35.04,105.12
FreshPoint,90012,2026-05-07,Cape Coral,405035,MUSHROOM SLICED,PRODUCE,7,CS,CS,15.02,105.14
FreshPoint,90012,2026-05-07,Cape Coral,512300,SPINACH BABY CELLO,PRODUCE,6,CS,CS,22.31,133.86
FreshPoint,90012,2026-05-07,Cape Coral,514021,ONION SWEET DICED,PRODUCE,5,CS,CS,34.54,172.7
FreshPoint,90012,2026-05-07,Cape Coral,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,5,CS,CS,28.48,142.4
FreshPoint,90012,2026-05-07,Cape Coral,561200,POTATO IDAHO #2 50LB,PRODUCE,8,CS,CS,25.87,206.96
Sysco,90013,2026-05-19,Lake Nona,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,3,CS,CS,61.64,184.92
Sysco,90013,2026-05-19,Lake Nona,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,3,CS,CS,65.62,196.86
Sysco,90013,2026-05-19,Lake Nona,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,1,CS,CS,67.79,67.79
Sysco,90013,2026-05-19,Lake Nona,4676280,WHLFCLS MILK 2% GALLON,DAIRY,5,CS,CS,24.02,120.1
Sysco,90013,2026-05-19,Lake Nona,9077123,BREAD SOURDOUGH SLCD,BREAD,2,CS,CS,22.25,44.5
Sysco,90014,2026-05-19,Windermere,7008537,BTRBALL BACON TURKEY LAYFLT,MEAT PLTRY,1,CS,CS,47.3,47.3
Sysco,90014,2026-05-19,Windermere,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,6,CS,CS,61.13,366.78
Sysco,90014,2026-05-19,Windermere,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,2,CS,CS,34.37,68.74
Sysco,90014,2026-05-19,Windermere,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,2,CS,CS,65.47,130.94
Sysco,90014,2026-05-19,Windermere,2210351,CHEESE AMER SLCD 160CT,DAIRY,5,CS,CS,52.26,261.3
Sysco,90014,2026-05-19,Windermere,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,4,CS,CS,36.66,146.64
Sysco,90014,2026-05-19,Windermere,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,5,CS,CS,25.2,126.0
Sysco,90014,2026-05-19,Windermere,8812234,SYRUP MAPLE FLVR JUG,GROCERY,4,CS,CS,33.72,134.88
Sysco,90014,2026-05-19,Windermere,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,4,CS,CS,67.65,270.6
Sysco,90014,2026-05-19,Windermere,4676280,WHLFCLS MILK 2% GALLON,DAIRY,6,CS,CS,23.96,143.76
Sysco,90014,2026-05-19,Windermere,9077122,BREAD TEXAS TOAST THICK,BREAD,4,CS,CS,19.61,78.44
Sysco,90014,2026-05-19,Windermere,9077123,BREAD SOURDOUGH SLCD,BREAD,1,CS,CS,22.16,22.16
Sysco,90014,2026-05-19,Windermere,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,3,CS,CS,43.32,129.96
Sysco,90015,2026-05-16,Cape Coral,4537134,KEKE'S EGG SHELL XL WHT GR AA,DAIRY,2,CS,CS,39.39,78.78
Sysco,90015,2026-05-16,Cape Coral,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,1,CS,CS,61.73,61.73
Sysco,90015,2026-05-16,Cape Coral,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,4,CS,CS,34.56,138.24
Sysco,90015,2026-05-16,Cape Coral,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,4,CS,CS,65.58,262.32
Sysco,90015,2026-05-16,Cape Coral,2210351,CHEESE AMER SLCD 160CT,DAIRY,6,CS,CS,52.37,314.22
Sysco,90015,2026-05-16,Cape Coral,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,4,CS,CS,25.13,100.52
Sysco,90015,2026-05-16,Cape Coral,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,4,CS,CS,67.66,270.64
Sysco,90015,2026-05-16,Cape Coral,4676280,WHLFCLS MILK 2% GALLON,DAIRY,5,CS,CS,23.95,119.75
Sysco,90015,2026-05-16,Cape Coral,9077122,BREAD TEXAS TOAST THICK,BREAD,3,CS,CS,19.5,58.5
Sysco,90015,2026-05-16,Cape Coral,9077123,BREAD SOURDOUGH SLCD,BREAD,3,CS,CS,22.05,66.15
Sysco,90015,2026-05-16,Cape Coral,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,6,CS,CS,43.81,262.86
FreshPoint,90016,2026-05-15,Lake Nona,480010,BANANA GREEN TIP,PRODUCE,5,CS,CS,20.52,102.6
FreshPoint,90016,2026-05-15,Lake Nona,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,9,CS,CS,37.98,341.82
FreshPoint,90016,2026-05-15,Lake Nona,260305,GRAPE RED SEEDLESS,PRODUCE,4,CS,CS,39.55,158.2
FreshPoint,90016,2026-05-15,Lake Nona,270112,MELON CANTALOUPE CT,PRODUCE,3,CS,CS,31.78,95.34
FreshPoint,90016,2026-05-15,Lake Nona,407810,TOMATO 5X6 2LAY,PRODUCE,5,CS,CS,79.98,399.9
FreshPoint,90016,2026-05-15,Lake Nona,403647,LETTUCE CELLO ICEBERG,PRODUCE,1,CS,CS,36.72,36.72
FreshPoint,90016,2026-05-15,Lake Nona,405035,MUSHROOM SLICED,PRODUCE,7,CS,CS,15.72,110.04
FreshPoint,90016,2026-05-15,Lake Nona,512300,SPINACH BABY CELLO,PRODUCE,1,CS,CS,23.49,23.49
FreshPoint,90016,2026-05-15,Lake Nona,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,4,CS,CS,29.78,119.12
FreshPoint,90016,2026-05-15,Lake Nona,561200,POTATO IDAHO #2 50LB,PRODUCE,5,CS,CS,26.71,133.55
FreshPoint,90017,2026-05-19,Windermere,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,1,CS,CS,38.27,38.27
FreshPoint,90017,2026-05-19,Windermere,260305,GRAPE RED SEEDLESS,PRODUCE,7,CS,CS,39.32,275.24
FreshPoint,90017,2026-05-19,Windermere,407810,TOMATO 5X6 2LAY,PRODUCE,4,CS,CS,80.1,320.4
FreshPoint,90017,2026-05-19,Windermere,403647,LETTUCE CELLO ICEBERG,PRODUCE,1,CS,CS,36.61,36.61
FreshPoint,90017,2026-05-19,Windermere,405035,MUSHROOM SLICED,PRODUCE,7,CS,CS,15.53,108.71
FreshPoint,90017,2026-05-19,Windermere,514021,ONION SWEET DICED,PRODUCE,4,CS,CS,35.02,140.08
FreshPoint,90017,2026-05-19,Windermere,561200,POTATO IDAHO #2 50LB,PRODUCE,4,CS,CS,26.96,107.84
FreshPoint,90018,2026-05-17,Cape Coral,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,5,CS,CS,38.03,190.15
FreshPoint,90018,2026-05-17,Cape Coral,260305,GRAPE RED SEEDLESS,PRODUCE,4,CS,CS,39.25,157.0
FreshPoint,90018,2026-05-17,Cape Coral,270112,MELON CANTALOUPE CT,PRODUCE,2,CS,CS,31.69,63.38
FreshPoint,90018,2026-05-17,Cape Coral,403647,LETTUCE CELLO ICEBERG,PRODUCE,4,CS,CS,36.35,145.4
FreshPoint,90018,2026-05-17,Cape Coral,405035,MUSHROOM SLICED,PRODUCE,4,CS,CS,15.62,62.48
FreshPoint,90018,2026-05-17,Cape Coral,407030,PEPPER GREEN BELL BUSHEL,PRODUCE,5,CS,CS,29.91,149.55
FreshPoint,90018,2026-05-17,Cape Coral,561200,POTATO IDAHO #2 50LB,PRODUCE,5,CS,CS,26.63,133.15
Sysco,90019,2026-05-24,Lake Nona,4537134,KEKE'S EGG SHELL XL WHT GR AA,DAIRY,6,CS,CS,45.22,271.32
Sysco,90019,2026-05-24,Lake Nona,7008537,BTRBALL BACON TURKEY LAYFLT,MEAT PLTRY,4,CS,CS,48.16,192.64
Sysco,90019,2026-05-24,Lake Nona,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,2,CS,CS,65.63,131.26
Sysco,90019,2026-05-24,Lake Nona,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,6,CS,CS,35.78,214.68
Sysco,90019,2026-05-24,Lake Nona,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,5,CS,CS,69.46,347.3
Sysco,90019,2026-05-24,Lake Nona,2210351,CHEESE AMER SLCD 160CT,DAIRY,5,CS,CS,54.99,274.95
Sysco,90019,2026-05-24,Lake Nona,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,3,CS,CS,39.77,119.31
Sysco,90019,2026-05-24,Lake Nona,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,6,CS,CS,25.2,151.2
Sysco,90019,2026-05-24,Lake Nona,4676280,WHLFCLS MILK 2% GALLON,DAIRY,2,CS,CS,24.42,48.84
Sysco,90019,2026-05-24,Lake Nona,9077123,BREAD SOURDOUGH SLCD,BREAD,5,CS,CS,22.58,112.9
Sysco,90019,2026-05-24,Lake Nona,3390871,JUICE ORANGE 100% FRZN CONC,NA BEV,3,CS,CS,46.24,138.72
Sysco,90020,2026-05-21,Windermere,4537134,KEKE'S EGG SHELL XL WHT GR AA,DAIRY,3,CS,CS,44.8,134.4
Sysco,90020,2026-05-21,Windermere,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,1,CS,CS,35.8,35.8
Sysco,90020,2026-05-21,Windermere,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,2,CS,CS,69.78,139.56
Sysco,90020,2026-05-21,Windermere,2210351,CHEESE AMER SLCD 160CT,DAIRY,1,CS,CS,54.73,54.73
Sysco,90020,2026-05-21,Windermere,6946152,PIERCE CHICKEN TNDR FRTR RAW,MEAT PLTRY,4,CS,CS,39.67,158.68
Sysco,90020,2026-05-21,Windermere,5583321,SYS PANCAKE & WAFFLE MIX,GROCERY,1,CS,CS,25.26,25.26
Sysco,90020,2026-05-21,Windermere,8812234,SYRUP MAPLE FLVR JUG,GROCERY,1,CS,CS,34.64,34.64
Sysco,90020,2026-05-21,Windermere,7141200,HAM PIT SMKD B/I SLCD,MEAT PLTRY,1,CS,CS,70.24,70.24
Sysco,90020,2026-05-21,Windermere,4676280,WHLFCLS MILK 2% GALLON,DAIRY,2,CS,CS,24.39,48.78
Sysco,90020,2026-05-21,Windermere,9077123,BREAD SOURDOUGH SLCD,BREAD,2,CS,CS,22.6,45.2
Sysco,90021,2026-05-24,Cape Coral,4537134,KEKE'S EGG SHELL XL WHT GR AA,DAIRY,2,CS,CS,45.24,90.48
Sysco,90021,2026-05-24,Cape Coral,7008537,BTRBALL BACON TURKEY LAYFLT,MEAT PLTRY,4,CS,CS,47.84,191.36
Sysco,90021,2026-05-24,Cape Coral,1948559,HORMEL BACON APPLEWOOD SMKD,MEAT PLTRY,4,CS,CS,66.28,265.12
Sysco,90021,2026-05-24,Cape Coral,3029461,WHLFIMP BUTTER SALTED WHIP TUB,DAIRY,5,CS,CS,36.05,180.25
Sysco,90021,2026-05-24,Cape Coral,6414544,CHEESE CHEDDAR SHRD FCY,DAIRY,2,CS,CS,68.94,137.88
Sysco,90021,2026-05-24,Cape Coral,2210351,CHEESE AMER SLCD 160CT,DAIRY,1,CS,CS,54.2,54.2
Sysco,90021,2026-05-24,Cape Coral,4676280,WHLFCLS MILK 2% GALLON,DAIRY,3,CS,CS,24.34,73.02
Sysco,90021,2026-05-24,Cape Coral,9077123,BREAD SOURDOUGH SLCD,BREAD,4,CS,CS,22.59,90.36
FreshPoint,90022,2026-05-22,Lake Nona,480010,BANANA GREEN TIP,PRODUCE,6,CS,CS,21.05,126.3
FreshPoint,90022,2026-05-22,Lake Nona,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,1,CS,CS,43.26,43.26
FreshPoint,90022,2026-05-22,Lake Nona,260305,GRAPE RED SEEDLESS,PRODUCE,3,CS,CS,41.38,124.14
FreshPoint,90022,2026-05-22,Lake Nona,270112,MELON CANTALOUPE CT,PRODUCE,5,CS,CS,33.58,167.9
FreshPoint,90022,2026-05-22,Lake Nona,407810,TOMATO 5X6 2LAY,PRODUCE,3,CS,CS,85.01,255.03
FreshPoint,90022,2026-05-22,Lake Nona,403647,LETTUCE CELLO ICEBERG,PRODUCE,7,CS,CS,37.89,265.23
FreshPoint,90022,2026-05-22,Lake Nona,512300,SPINACH BABY CELLO,PRODUCE,4,CS,CS,24.81,99.24
FreshPoint,90022,2026-05-22,Lake Nona,514021,ONION SWEET DICED,PRODUCE,5,CS,CS,36.28,181.4
FreshPoint,90022,2026-05-22,Lake Nona,561200,POTATO IDAHO #2 50LB,PRODUCE,6,CS,CS,28.07,168.42
FreshPoint,90023,2026-05-24,Windermere,480010,BANANA GREEN TIP,PRODUCE,6,CS,CS,20.9,125.4
FreshPoint,90023,2026-05-24,Windermere,250056,BERRY STRAWBERRY DRISCOLL,PRODUCE,3,CS,CS,43.79,131.37
FreshPoint,90023,2026-05-24,Windermere,260305,GRAPE RED SEEDLESS,PRODUCE,5,CS,CS,41.18,205.9
FreshPoint,90023,2026-05-24,Windermere,270112,MELON CANTALOUPE CT,PRODUCE,4,CS,CS,33.62,134.48
FreshPoint,90023,2026-05-24,Windermere,407810,TOMATO 5X6 2LAY,PRODUCE,4,CS,CS,84.99,339.96
FreshPoint,90023,2026-05-24,Windermere,403647,LETTUCE CELLO ICEBERG,PRODUCE,5,CS,CS,37.82,189.1
FreshPoint,90023,2026-05-24,Windermere,512300,SPINACH BABY CELLO,PRODUCE,3,CS,CS,24.88,74.64
FreshPoint,90023,2026-05-24,Windermere,514021,ONION SWEET DICED,PRODUCE,4,CS,CS,36.04,144.16
FreshPoint,90023,2026-05-24,Windermere,561200,POTATO IDAHO #2 50LB,PRODUCE,4,CS,CS,28.13,112.52
